Date,Amount,Category,Description

09-02-2024,22.4,Expense,Entertainment
09-02-2024,41.74,Expense,Food
09-02-2024,21.97,Expense,Travel
09-02-2024,15.72,Expense,Food
09-03-2024,88.4,Expense,Shopping
09-03-2024,35.44,Expense,Groceries
09-03-2024,5.17,Expense,Travel
09-03-2024,44.43,Expense,Food
09-03-2024,29.57,Expense,Gas
09-03-2024,899.79,Income,Salary
09-04-2024,14.79,Expense,Travel
09-04-2024,5.11,Expense,Travel
09-05-2024,6.85,Expense,Laundry
09-05-2024,2.68,Expense,Food
09-05-2024,54.72,Expense,Groceries
09-06-2024,2.89,Expense,Food
09-06-2024,2.5,Expense,Food
09-06-2024,841.65,Income,Salary
09-07-2024,10.74,Expense,Shopping
09-07-2024,12.89,Expense,Groceries
09-07-2024,10.74,Expense,Shopping
09-09-2024,16.13,Expense,Food
09-09-2024,2.5,Expense,Food
09-09-2024,17.0,Expense,Food
09-09-2024,89.08,Expense,Food
09-09-2024,9.98,Expense,Travel
09-09-2024,7.98,Expense,Travel
09-09-2024,11.91,Expense,Travel
09-10-2024,9.99,Expense,Travel
09-10-2024,15.95,Expense,Travel
09-11-2024,11.56,Expense,Food
09-11-2024,52.32,Expense,Uber Eats
09-13-2024,841.65,Income,Salary
09-14-2024,13.48,Expense,Travel
09-16-2024,7.0,Expense,Food
09-16-2024,17.0,Expense,Food
09-16-2024,22.0,Expense,Food
09-16-2024,13.0,Expense,Food
09-16-2024,5.0,Expense,Laundry
09-16-2024,59.68,Expense,Entertainment
09-16-2024,62.93,Expense,Entertainment
09-16-2024,6.77,Expense,Entertainment
09-17-2024,32.73,Expense,Entertainment
09-17-2024,93.05,Expense,Groceries
09-18-2024,5.48,Expense,Travel
09-18-2024,3358.0,Expense,Housing
09-18-2024,92.34,Expense,Housing
09-20-2024,841.65,Income,Salary
09-20-2024,4.0,Income,Other
09-21-2024,40.89,Expense,Entertainment
09-21-2024,57.52,Expense,Entertainment
09-23-2024,17.36,Expense,Food
09-23-2024,29.82,Expense,Food
09-23-2024,12.89,Expense,Shopping
09-23-2024,5.9,Expense,Travel
09-23-2024,11.4,Expense,Shopping
09-23-2024,6.99,Expense,Entertainment
09-23-2024,3.24,Expense,Entertainment
09-24-2024,19.11,Expense,Food
09-24-2024,5.67,Expense,Travel
09-24-2024,58.75,Expense,Shopping
09-24-2024,2.5,Expense,Food
09-24-2024,6.43,Expense,Food
09-25-2024,2.5,Expense,Food
09-26-2024,35.99,Expense,Shopping
09-26-2024,14.93,Expense,Travel
09-26-2024,30.02,Expense,Food
09-26-2024,26.64,Expense,Entertainment
09-27-2024,841.65,Income,Salary
09-28-2024,17.19,Expense,Online
09-28-2024,10.0,Expense,Entertainment
09-28-2024,70.85,Expense,Food
09-29-2024,6.39,Expense,Food
09-29-2024,26.15,Expense,Gas
09-29-2024,5.21,Expense,Travel
09-29-2024,5.0,Expense,Other
09-29-2024,21.0,Expense,Entertainment

09-01-2024,10.0,Expense,Online
